date,max_temp,min_temp
2026-02-14,7.2,-0.2
2026-02-15,9.4,-0.7
2026-02-16,9.9,6.3
2026-02-17,7.7,4.1
2026-02-18,8.6,3.0
2026-02-19,10.8,6.2
2026-02-20,10.9,5.2
2026-02-21,15.1,9.5
